year,patent_id,wipo,query_type,query_text,attempt_used,query_word_count,leak_overlap_count,leak_overlap_ratio,leak_query_ngram_count,status
2005,6882480,2,summary,"Search for projector modules where color‑combining optics are mounted on heat‑insulated spacers separating them from light‑modulating elements, including intermediate conversion films, to prevent heat transfer and improve modulator cooling while sustaining small form factor and high brightness output.",1,41,0,0.0,30,ok
2005,6882480,2,keyword,"optical modulator projector with heat‑insulating spacer between modulator and color‑combining device, heat‑conductive housing, thermal shielded control cable, high luminance, compact size",3,24,1,0.05,20,failed_constraints
2005,6882480,2,function,"Search for devices that separate heat generated by light-modulation elements from conversion layers using insulated spacers, improving cooling and enabling compact, high-brightness projectors.",2,25,0,0.0,18,ok
2005,6949222,13,summary,"Search for a system that controls electron‑beam sterilization by measuring each object’s travel speed, automatically adjusting the beam current and voltage in response, and ejecting the item if the delivered dose falls below a preset threshold.",1,38,0,0.0,23,ok
2005,6949222,13,keyword,"Electron‑beam sterilization system with speed‑sensing detector, velocity‑to‑control converter, high‑voltage filament current generator, process control unit comparing real‑time high‑voltage and filament current to programmed norms, and negative‑signal‑activated ejector for sterile object removal.",3,40,4,0.13333333333333333,30,failed_constraints
2005,6949222,13,function,"search for industrial apparatus that monitors conveyor speed during electron beam sterilization, automatically regulates filament current and high voltage to maintain prescribed dosage, compares real‑time dose parameters with preset norms, and ejects the product when deviations exceed limits.",1,39,0,0.0,29,ok
2005,6854269,27,summary,"Search for hydraulic noise suppression systems using a flow restrictor, a downstream flow‑velocity sensor, and a valve‑controlled bypass loop that adjusts flow to damp pressure oscillations.",1,28,0,0.0,19,ok
2005,6854269,27,keyword,"Search for hydraulic noise suppression systems employing a flow restriction element integrated with a sensor that measures downstream pressure oscillations, coupled to a valve‑controlled bypass loop that adjusts flow to reduce acoustic emissions in pump‑actuator circuits.",2,38,0,0.0,26,ok
2005,6854269,27,function,"Search for hydraulic noise suppression systems where a flow restriction is placed upstream of a pump‑actuator line, a sensor monitors downstream pressure oscillations, and a valve‑controlled bypass delivers corrective flow to dampen hydro‑acoustic disturbances.",1,37,0,0.0,25,ok
2005,6860142,10,summary,"automatic fluid monitoring and cleaning system for metalworking processes that circulates fluid through sensors, injects cleaning agents or calibrants, uses valves and manifolds to manage flow, and delivers real‑time corrective adjustments based on measured parameters.",1,36,0,0.0,26,ok
2005,6860142,10,keyword,"automatic system for real‑time monitoring of metalworking fluid parameters with an integrated sensor array, cleaning agent injection, valve manifolds, and calibration routines for pH, conductivity, temperature, refractive index; includes a circulating pump, metering device, functional material source, and feedback control.",1,41,0,0.0,31,ok
2005,6860142,10,function,"automatic monitoring and control of metalworking fluid parameters with integrated sensor calibration and cleaning cycles, using pumps, inlet/outlet manifolds, functional material injection, refractometer sensing, and fluid circuit valve sequencing.",1,30,0,0.0,23,ok
2005,6908409,31,summary,"Stepless friction drive uses adjustable contact plates and a compliance system of upper/lower bearing shells, cage‑mounted balls, and a traction element linked to a hydraulic piston, enabling elastic deformation compensation while transferring torque through swivelling friction wheels.",3,39,3,0.1,30,failed_constraints
2005,6908409,31,keyword,"search for stepless friction transmission comprising swivelable friction wheels between twin toroidal input/output discs, with an adjustable compensatory bearing cage of upper/lower shells and balls actuated by a hydraulic piston.",3,32,1,0.043478260869565216,23,failed_constraints
2005,6908409,31,function,"search for stepless friction drive mechanism with adjustable friction wheel support that compensates for elastic deformation using a bearing element, ball cage, and hydraulic piston to maintain torque transfer and variable output speed",3,33,1,0.043478260869565216,23,failed_constraints
2005,6925281,9,summary,"Search for methods to apply and fuse an abrasion‑resistant, transparent toner blend from a donor layer onto both surfaces of a sheet, using a transfer station and fuser to form a uniform protective layer safeguarding images.",1,37,0,0.0,23,ok
2005,6925281,9,keyword,"Method for coating a dual‑surface recipient sheet with a transparent abrasion‑resistant toner resin, applying from a donor device, transferring to both surfaces by a contact station, and fusing via a heat fuser, optionally with light‑fast additives.",3,39,3,0.12,25,failed_constraints
2005,6925281,9,function,"Search for methods that apply and fuse a protective toner coating to both sides of a substrate via a donor plate and transfer station, forming a durable image‑protective finish.",2,30,0,0.0,18,ok
2005,6950505,3,summary,"Search for automated telephone monitoring that captures caller number, destination number before transfer, logs timestamps, identifies caller location and identity via database matching, and initiates return calls for flagged numbers.",2,30,0,0.0,23,ok
