patent_id,claims,abstract,wipo,cpc
12370583,"1. A duct cleaning system comprising: a flexible, coilable vacuum hose having a distal end and a proximal end and a first longitudinal axis extending therebetween, the proximal end of the vacuum hose configured to couple to a vacuum source; a flexible, coilable drive shaft having a distal end and a proximal end and a second longitudinal axis extending therebetween, the proximal end of the drive shaft configured to couple to and be rotatably driven by a motor, the distal end of the drive shaft configured to couple to a cleaning attachment; and a flexible, coilable camera line having a distal end and a proximal end and a third longitudinal axis extending therebetween, the proximal end configured to couple to a power source, the distal end provided with a camera; wherein the first longitudinal axis, the second longitudinal axis, and the third longitudinal axis are non-coaxial; wherein the vacuum hose, the drive shaft, and the camera line are loosely coupled together by at least one slidable collar positioned between the distal end and the proximal end of each of the vacuum hose, the drive shaft, and the camera line; wherein the distal end of the vacuum hose, the distal end of the drive shaft, and the distal end of the camera line are configured to be fed into and independently moved along a duct to be cleaned, and wherein the vacuum hose delivers a vacuum to the duct to be cleaned, the drive shaft and cleaning attachment rotate within the duct to be cleaned, and the camera line provides visualization of the duct to be cleaned; and wherein each of the vacuum hose, the drive shaft, and the camera line are configured to be coiled around a first spool, a second spool, and a third spool, respectively, for storage and are configured to extend from the first spool, the second spool, and the third spool, respectively, in use, the first spool, the second spool, and the third spool being arranged in parallel and coaxial with one another within an enclosed volume of a carrying case with backpack straps.","A duct cleaning system includes a flexible vacuum hose having a proximal end configured to couple to a vacuum source, a flexible drive shaft having a proximal end configured to couple to a rotating motor, and a distal end configured to couple to a cleaning attachment, and a flexible camera line having a proximal end configured to couple to a power source and a distal end provided with a camera. The distal ends of the vacuum hose, the drive shaft, and the camera line configured to be fed into and moved along a duct to be cleaned, with the vacuum hose delivering a vacuum to the duct to suction up and collect particles and debris in the vacuum source, the drive shaft and cleaning attachment rotating within the duct to be cleaned to loosen particles and debris, and the camera line providing visualization of the duct during the cleaning process.",23,"B08B9/045,A46B13/02,A47L9/02,A47L9/248,B08B9/035,B08B9/0433,A46B2200/3013,B08B2209/032,B08B2209/04"
12258179,"1. A tape having a cross sectional profile comprising a first thick portion, a second thick portion, and a thin portion provided between the first and second thick portions, wherein the first and second thick portions and the thin portion are made of a respective resin composition whose main component is polyethylene, a density of at least a part of the thin portion is higher than both a density of the first thick portion and a density of the second thick portion, wherein the thin portion is suitable for rupturing the thin portion when the tape is torn along a longitudinal direction of the tape, and the thin portion comprises a plurality of ribs provided on at least one side of the thin portion, the plurality of ribs extending in a longitudinal direction of the tape, and wherein individual ribs of the plurality of ribs protrude in a thickness direction of the tape. 12. A tape comprising a first portion and a second portion in a cross sectional profile thereof, the first and second portions being configured to at least partially face each other, wherein each of the first and second portions comprises in a cross sectional profile thereof a base strip and an engagement portion protruding from the base strip, the engagement portion of the first portion and the engagement portion of the second portion being engageable with each other, the cross sectional profile of at least one of the first portion or the second portion further comprises a first thick portion continuous with the base strip, a second thick portion, and a thin portion provided between the first and second thick portions, the engagement portion, the base strip, the first and second thick portions, and the thin portion are made of a respective resin composition whose main component is polyethylene, a density of at least a part of the thin portion is higher than both a density of the first thick portion and a density of the second thick portion, wherein the thin portion is suitable for rupturing the thin portion when the tape is torn along a longitudinal direction thereof, and the thin portion comprises a plurality of ribs provided on at least one side of the thin portion, the plurality of ribs extending in a longitudinal direction of the tape, and wherein individual ribs of the plurality of ribs protrude in a thickness direction of the tape. 19. A tape-attached container comprising: a container body at least comprising a first area and a second area that face each other, and the tape according to claim 12, at least a part of the first portion of the tape being bonded to the first area and at least a part of the second portion of the tape being bonded to the second area. 21. A tape comprising a first portion and a second portion in a cross sectional profile thereof, the first and second portions being configured to at least partially face each other, wherein each of the first and second portions comprises in a cross sectional profile thereof, a first thick portion, a second thick portion, and a thin portion provided between the respective first and second thick portions, the first and second thick portions and the thin portion of both the first portion and the second portion are made of a respective resin composition whose main component is polyethylene, a density of at least a part of the thin portion of the first portion is higher than both a density of the first thick portion of the first portion and a density of the second thick portion of the first portion, wherein the thin portion of the first portion is suitable for rupturing the thin portion of the first portion when the tape is torn along a longitudinal direction of the tape, and a density of at least a part of the thin portion of the second portion is higher than both a density of the first thick portion of the second portion and a density of the second thick portion of the second portion, wherein the thin portion of the second portion is suitable for rupturing the thin portion of the second portion when the tape is torn along a longitudinal direction of the tape. 8. A tape-attached container comprising: a container body at least comprising a first area and a second area that face each other, and the tape according to claim 7, at least a part of the first portion of the tape being bonded to the first area and at least a part of the second portion of the tape being bonded to the second area.",A tape having a cross sectional profile including first and second thick portions and a thin portion provided between the first and second thick portions is provided. The first and second thick portions and the thin portion are made of a resin composition whose main component is polyethylene. The density of at least a part of the thin portion is higher than a density of the first and second thick portions.,25,"B65D33/2508,A44B19/16,B32B3/30,B32B7/05,B32B27/32,B65D33/2533,B65D33/2541,B65D75/5805,Y02W90/10,Y10T428/17"
12261761,"1. An electronic device configured to monitor network performance of a communications network having gateways that convey wireless data with user equipment (UE) devices via a satellite constellation, the electronic device comprising: a radio; one or more antennas communicably coupled to the radio, wherein the radio is configured to generate a reverse link data packet based on an identifier that distinguishes the electronic device from the UE devices, and the one or more antennas is configured to transmit, to one or more of the gateways via the satellite constellation, the reverse link data packet, and a communications interface configured to transmit, to one or more nodes of the communications network via a terrestrial network, reverse link signal information associated with the reverse link data packet transmitted by the one or more antennas. 19. A method of using an electronic device to monitor network performance of a communications network having gateways that convey wireless data with user equipment (UE) devices via a satellite constellation, the UE devices being different from the electronic device and the method comprising: with one or more antennas, transmitting a reverse link data packet to one or more of the gateways via the satellite constellation; with the one or more antennas, receiving a forward link data packet transmitted by a communications satellite in the satellite constellation to one or more of the UE devices, the one or more UE devices being located within a spot beam of the communications satellite that overlaps the electronic device; transmitting, to one or more nodes of the communications network via a terrestrial network, reverse link signal information associated with the reverse link data packet transmitted by the one or more antennas; and transmitting, to the one or more nodes of the communications network via the terrestrial network, forward link signal information associated with the forward link data packet received by the one or more antennas. 10. An electronic device configured to monitor network performance of a communications network having a gateway that conveys wireless data via a communications satellite, the electronic device comprising: a radio; one or more antennas communicably coupled to the radio, wherein the radio is configured to receive, using the one or more antennas, a forward link data packet transmitted by the communications satellite to a user equipment (UE) device that is different from the electronic device, the UE device and the electronic device both being located within a spot beam of the communications satellite; and a communications interface configured to transmit, to one or more nodes of the communications network via a terrestrial network, forward link signal information associated with the forward link data packet received by the radio.","A communications system may include user equipment (UE) devices, communications satellites, gateways, a satellite communications (satcom) network, and network performance monitoring devices. The monitoring devices may generate forward link signal information associated with forward link signals received from the satellites and may generate reverse link packets transmitted to the gateways via the satellites. The monitoring devices and the gateways may generate reverse link signal information associated with the reverse link packets. The satcom network may identify differences between the first and second reverse link signal information or between the forward link signal information and predicted forward link signal information for the monitoring devices. When the differences exceed a threshold value, the satcom network may generate and transmit error information used to diagnose, debug, and/or repair the potential errors in the constellation or gateways.",4,"H04L43/16,H04B7/18513,H04B7/18519,H04B17/40,H04L43/0823,H04L43/12,H04L43/50"
12217515,"1. A system comprising: one or more processors; and one or more non-transitory computer-readable media storing instructions executable by the one or more processors, wherein the instructions, when executed, cause the one or more processors to perform actions comprising: receiving, by a training component, state data representing a previous state of an object in an environment; receiving, by the training component, feature vectors representing a vehicle and the object in the environment; training a codebook as a trained codebook, the training comprising: assigning, based at least in part on the state data, a first token to represent the previous state of the object; assigning a second token to represent a characteristic of the vehicle; assigning a third token to represent a feature of the environment; and mapping the feature vectors to respective tokens; and outputting the trained codebook for use by a machine learned model configured to access tokens from the trained codebook and to arrange the first token, the second token, and the third token to represent a potential interaction between the vehicle and the object. 16. One or more non-transitory computer-readable media storing instructions that, when executed, cause one or more processors to perform actions comprising: receiving, by a training component, state data representing a previous state of an object or a vehicle in an environment; receiving, by the training component, feature vectors representing the vehicle and the object in the environment; training a codebook to output a trained codebook, the training comprising: assigning, based at least in part on the state data, a first token to represent the previous state of the object; assigning a second token to represent a characteristic of the vehicle; assigning a third token to represent a feature of the environment; and mapping the feature vectors to respective tokens; and outputting the trained codebook for use by a machine learned model configured to access tokens from the trained codebook and to arrange the first token, the second token, and the third token to represent a potential interaction between the vehicle and the object. 6. A method comprising: receiving, by a training component, state data representing a previous state of an object or a vehicle in an environment; receiving, by the training component, feature vectors representing the vehicle and the object in the environment; training a codebook to output a trained codebook, the training comprising: assigning, based at least in part on the state data, a first token to represent the previous state of the object; assigning a second token to represent a characteristic of the vehicle; assigning a third token to represent a feature of the environment; and mapping the feature vectors to respective tokens; and outputting the trained codebook for use by a machine learned model configured to access tokens from the trained codebook and to arrange the first token, the second token, and the third token to represent a potential interaction between the vehicle and the object.","Techniques for training a codebook usable by a machine learned model to predict an object trajectory or scene data are described herein. For example, the techniques may include generating tokens representing discrete object behavior into a machine learned model that outputs a sequence of tokens that is usable by another machine learned model to generate the object trajectory (e.g., position data, velocity data, acceleration data, etc.) or the scene data associated with the environment. The object trajectory can be sent to a vehicle computing device for consideration during vehicle planning, which may include simulation.",6,"G06V10/82,G06V20/58,B60W40/10,B60W60/0027,G06V10/774,B60W2554/4049"
12396825,"1. A fixture of a dental implant comprising: a fixture body in which a screw portion is formed in a spiral shape along an outer wall and an abutment insertion groove inserted with an abutment is recessed in a longitudinal direction at an upper end; an abutment rotation stopping portion provided in the fixture body, the abutment rotation stopping portion is formed in a shape in which at least a part of an inner wall of the fixture body is shape-fitted to an outer wall of the abutment and is configured to stop a relative rotation to the fixture body of the abutment; and a tool coupling portion which is provided in the fixture body, is separate in height in the fixture body from the abutment rotation stopping portion, and is located above the abutment rotation stopping portion within the insertion groove, the tool coupling portion is configured to detachably couple with a rotary tool for rotating the fixture body, wherein the tool coupling portion includes a protrusion portion which is disposed in an upper region of the inner wall of the abutment rotation stopping portion and coupled with the rotary tool when the rotary tool engages the fixture and is rotated, and a groove portion which is connected to the protrusion portion and recessed by a predetermined depth toward the outer wall of the fixture body in the inner wall of the protrusion portion, the groove portion abuts against the abutment rotation stopping portion, wherein a length of the protrusion portion in the perimeter of the circumferential direction of the fixture is smaller than a length of one side of an octagonal shape formed by the inner wall of the abutment rotation stopping portion, wherein the protrusion portion is provided on the upper side of at least one of the octagonal sides formed by the inner wall of the abutment rotation stopping portion, wherein the inner wall of the abutment rotation stopping portion is formed in the octagonal shape in a circumferential direction of the fixture body, wherein four protrusion portions are provided and symmetrically disposed based on a virtual central axis of the fixture body, wherein a length of the groove portion in the perimeter of the circumferential direction of the fixture is larger than a length of one side of an octagonal shape formed by the inner wall of the abutment rotation stopping portion, wherein the side wall of the protrusion portion and the inner wall of the groove portion intersect at a predetermined angle.","Disclosed is an implant fixture. The fixture of a dental implant according to the present invention includes a fixture body in which a screw portion is formed in a spiral shape along an outer wall and an abutment insertion groove inserted with an abutment is recessed in a longitudinal direction at an upper end, an abutment rotation stopping portion which is formed in a shape in which at least a part of the inner wall of the fixture body is shape-fitted to the outer wall of the abutment and stops a relative rotation to the fixture body of the abutment, and a tool coupling portion which is provided in the fixture body adjacently to the abutment rotation stopping portion in an upper region of the abutment rotation stopping portion and detachably coupled with a rotary tool rotating the fixture body.",13,"A61C8/0022,A61C8/0018,A61C8/0024,A61C8/006,A61C8/0069"
12203696,"1. A home appliance, comprising: a housing having at least one first side panel and at least one second side panel adjacent said at least one first side panel, and each of said first side panel and said second side panel being made from a metallic material; a housing connection arrangement for connecting said second side panel of said housing to said first side panel of said housing; said housing connection arrangement including a panel connection detail on said second side panel, said second side panel with said panel connection detail being a single-piece unitary component, and a connection recess formed on said first side panel for receiving said panel connection detail of said second side panel; and said second side panel having a top wall extending towards said housing, said panel connection detail being formed from said top wall by cutting and bending at least sections of said top wall, said top wall having a cut-out corresponding to said connection detail, and said connection recess being a deepened impression on a side surface of said first side panel facing outward.","A home appliance has a housing with at least one first side panel and at least one second side panel. The second side panel is adjacent the relevant first side panel of the housing, and connects to the first side panel by way of at least one housing connection arrangement. The housing connection arrangements are provided in such a way that the first side panel has at least one connection recess for receiving a corresponding panel connection detail of the second side panel.",34,"F25D23/062,A47B47/02,F25D23/063,E05Y2900/31,F25D23/006"
12263501,"1. A compound applicator comprising: a nozzle assembly including a nozzle opening and a plug movable relative to the nozzle opening between a first position in which the nozzle assembly is in a closed state, and a second position in which the nozzle assembly is in an open state; a spring configured to bias the plug into the first position; a cylinder configured to receive and store a compound material; a main housing coupled to the cylinder; a handle coupled to the main housing and rotatable relative to the main housing; a pull rod having a first end coupled with the plug; and an input mechanism located at least partially within the handle and/or the main housing and configured to convert rotational motion of the handle into axial movement of the pull rod, the input mechanism comprising a first cam member defining an axial cam slot, a second cam member defining an angled cam slot, and a cam follower having a first roller follower configured to roll along the axial cam slot and a second roller follower configured to roll along the angled cam slot. 16. A compound applicator comprising: a nozzle assembly including a nozzle opening and a plug movable relative to the nozzle opening between a first position in which the nozzle assembly is in a closed state, and a second position in which the nozzle assembly is in an open state; a spring configured to bias the plug into the first position; a cylinder configured to receive and store a compound material; a main housing coupled to the cylinder; a handle coupled to the main housing and rotatable relative to the main housing; a pull rod having a first end coupled with the plug; an input mechanism located at least partially within the handle and/or the main housing and configured to convert rotational motion of the handle into axial movement of the pull rod; and a pin movable relative to a slot in the handle, wherein the pin is configured to engage the input mechanism at a plurality of positions along the slot in the handle such that the position of the handle is adjustable relative to the main housing.","A compound applicator includes a nozzle assembly including a nozzle opening and a plug movable relative to the nozzle opening between a first position in which the nozzle assembly is in a closed state, and a second position in which the nozzle assembly is in an open state, a spring configured to bias the plug into the first position, a cylinder configured to receive and store a compound material, a main housing, a handle rotatable relative to the main housing, a pull rod having a first end coupled with the plug, and an input mechanism located at least partially within the handle and/or the main housing and configured to convert rotational motion of the handle into axial movement of the pull rod, thereby moving the plug from the first position toward the second position. The spring pulls the pull rod such that the pull rod is biased into tension.",21,"B05C17/00503,B05C17/0146,B05C17/00593,B05C17/015,E04F21/165"
12303722,"1. A system for applying ultrasound energy, comprising: at least five ultrasound applicators configured to be secured against a head of a person and configured to apply ultrasound energy to the head of the person when activated, the at least five ultrasound applications comprising: a left ICA applicator configured to be positioned to apply ultrasound energy to an interior carotid artery of the head of the person from a left side of the person, a BA applicator configured to be positioned to apply ultrasound energy to a basilar artery of the head of the person, a right ICA applicator configured to be positioned to apply ultrasound energy to the interior carotid artery of the head of the person from a right side of the person, a left ECA applicator configured to be positioned to apply ultrasound energy to an exterior carotid artery of the head of the person from the left side of the person, and a right ECA applicator configured to be positioned to apply ultrasound energy to the exterior carotid artery of the head of the person from the right side of the person; and a controller configured to control activation and deactivation of the at least five ultrasound applicators based on a predetermined treatment sequence. 17. An apparatus comprising: an adjustable head piece; and at least five ultrasound applicators attached to the adjustable head piece, wherein the adjustable head piece is adjustable to secure the at least five ultrasound applicators against a head of a person, wherein the at least five ultrasound applicators are configured to apply ultrasound energy to the head of the person when activated, and wherein the at least three ultrasound applicators comprise: a left ICA applicator configured to be positioned to apply ultrasound energy to an interior carotid artery of the head of the person from a left side of the person; a BA applicator configured to be positioned to apply ultrasound energy to a basilar artery of the head of the person; a right ICA applicator configured to be positioned to apply ultrasound energy to the interior carotid artery of the head of the person from a right side of the person; a left ECA applicator configured to be positioned to apply ultrasound energy to an exterior carotid artery of the head of the person from the left side of the person; and a right ECA applicator configured to be positioned to apply ultrasound energy to the exterior carotid artery of the head of the person from the right side of the person. 9. A method for applying ultrasound energy, comprising: securing at least five ultrasound applicators against a head of a person, the at least five ultrasound applicators configured to apply ultrasound energy to the head of the person when activated, wherein the at least five ultrasound applicators comprise: a left ICA applicator configured to be positioned to apply ultrasound energy to an interior carotid artery of the head of the person from a left side of the person, a BA applicator configured to be positioned to apply ultrasound energy to a basilar artery of the head of the person, a right ICA applicator configured to be positioned to apply ultrasound energy to the interior carotid artery of the head of the person from a right side of the person, a left ECA applicator configured to be positioned to apply ultrasound energy to an exterior carotid artery of the head of the person from the left side of the person, and a right ECA applicator configured to be positioned to apply ultrasound energy to the exterior carotid artery of the head of the person from the right side of the person; and controlling activation and deactivation of the at least five of ultrasound applicators based on a predetermined treatment sequence.","The present disclosure relates to transcranial ultrasound systems, devices, and methods which are used for treatment rather than for imaging or medical diagnosis. In accordance with one aspect, a system for applying ultrasound energy includes at least three ultrasound applicators configured to be secured against a head of a person and configured to apply ultrasound energy to the head of the person when activated, and a controller configured to control activation and deactivation of the at least three ultrasound applicators based on a predetermined treatment sequence.",13,"A61N7/00,A61N7/02,A61B8/06,A61B8/4209,A61B8/54,A61B2018/00404,A61B2018/00434,A61N2007/0021,A61N2007/0078"
12243857,"1. A semiconductor integrated circuit comprising: a first circuit controlled by a control signal of low voltage and driven at a higher voltage than the control signal of low voltage, the first circuit including an insulated gate bipolar transistor (IGBT) that receives the control signal of low voltage at a gate electrode of the IGBT, so that the control signal directly controls whether the IGBT outputs the higher voltage; a second circuit configured to output the control signal of low voltage to the first circuit to control driving of the first circuit; at least one first insulation circuit that receives and outputs the control signal of low voltage from the second circuit; and a second insulation circuit that receives the control signal of low voltage from the at least one first insulation circuit and outputs the control signal of low voltage directly into the gate electrode of the IGBT of the first circuit, wherein each of the at least one first insulation circuit and the second insulation circuit includes an insulating element and is configured to magnetically couple or capacitively couple the control signal in the respective insulating element to transmit the control signal from the second circuit to the first circuit, and is configured to insulate the first circuit from the second circuit in the respective insulating element to prevent the higher voltage from being applied from the first circuit to the second circuit.","Provided is a semiconductor integrated circuit that improves insulation reliability between a high-voltage circuit and a low-voltage circuit. The semiconductor integrated circuit includes the following: a first circuit controlled by a control signal of low voltage and driven at a higher voltage; a second circuit configured to output the control signal to the first circuit to control the driving of the first circuit; and a plurality of insulation circuits each including an insulating element, the plurality of insulation circuits connecting between the first and the second circuits in series. Each insulation circuit is configured to magnetically or capacitively couple the control signal in the insulating element to transmit it from the second circuit to the first circuit, and is configured to insulate the first circuit from the second circuit in the insulating element to prevent the higher voltage from being applied from the first circuit to the second circuit.",5,"H01L25/162,H03K17/689,H03K17/691,H04L25/0266"
12420069,"1. A balloon guiding sheath, comprising: an elongated sheath having a proximal end, a distal end opposite the proximal end, an inner tube extending between the proximal end and the distal end, an outer tube surrounding the inner tube and extending between the proximal end and the distal end, an access port located adjacent the proximal end, a distal port located adjacent the distal end, and a working lumen extending through the elongated sheath between the access port and the distal port; an inflatable balloon located on an outer surface of the elongated sheath adjacent the distal end and configured to, in an inflated state, occlude blood flow through a vessel at a treatment site, the inflatable balloon being fluidly coupled to an inflation lumen extending between the inflatable balloon and an inflation port located adjacent the proximal end; and at least one vent hole located between the outer surface of the elongated sheath and an inner surface of the inflatable balloon and on only a proximal side of the inflatable balloon, wherein the at least one vent hole is fluidly coupled to the inflatable balloon and configured to allow air to flow from the inflatable balloon to an external portion outside the balloon guiding sheath, and wherein the at least one vent hole is configured to prevent liquid from passing through the at least one vent hole. 2. A balloon guiding sheath, comprising: an elongated sheath defining a proximal end, a distal end opposite the proximal end, a working lumen, and an inflation lumen; an inflatable balloon located on an outer surface of the elongated sheath and configured to, in an inflated state, occlude blood flow through a vessel at a treatment site, the inflatable balloon being fluidly coupled to the inflation lumen; and at least one vent hole fluidly coupled to the inflatable balloon and configured to allow media to flow from the inflatable balloon to a location outside the balloon guiding sheath and vent air in the media, wherein the at least one vent hole is located on only a proximal side of the inflatable balloon to enable the media vented from the inflatable balloon to flow away from the treatment site.","The disclosure includes a balloon guiding sheath including an elongated sheath having a proximal end, a distal end, an inner tube and an outer tube both extending between the proximal end and the distal end, an access port located adjacent the proximal end, a distal port located adjacent the distal end, and a working lumen extending through the elongated sheath between the access port and the distal port. The balloon guiding sheath may include an inflatable balloon located on an outer surface of the elongated sheath adjacent the distal end, and at least one vent hole located between an outer surface of the elongated sheath and an inner surface of the inflatable balloon. The at least one vent hole may be configured to allow media to flow from the inflatable balloon to an external portion outside the balloon guiding sheath.",13,"A61M25/0662,A61M25/10,A61M25/005,A61M25/0074,A61M25/10186,A61M2025/0079,A61M2025/105,A61M2025/1081"
